open_time,open,high,low,close,quote_asset_volume
1503014400000,4285.08,4285.08,4285.08,4285.08,0
1503014401000,4285.08,4285.08,4285.08,4285.08,0
1503014402000,4285.08,4285.08,4285.08,4285.08,0
1503014403000,4285.08,4285.08,4285.08,4285.08,0
1503014404000,4285.08,4285.08,4285.08,4285.08,0
1503014405000,4285.08,4285.08,4285.08,4285.08,0
1503014406000,4285.08,4285.08,4285.08,4285.08,0
1503014407000,4285.08,4285.08,4285.08,4285.08,0
1503014408000,4285.08,4285.08,4285.08,4285.08,0
1503014409000,4285.08,4285.08,4285.08,4285.08,0
1503014410000,4285.08,4285.08,4285.08,4285.08,0
1503014411000,4285.08,4285.08,4285.08,4285.08,0
1503014412000,4285.08,4285.08,4285.08,4285.08,0
1503014413000,4285.08,4285.08,4285.08,4285.08,0
1503014414000,4285.08,4285.08,4285.08,4285.08,0
1503014415000,4285.08,4285.08,4285.08,4285.08,0
1503014416000,4285.08,4285.08,4285.08,4285.08,0
1503014417000,4285.08,4285.08,4285.08,4285.08,0
1503014418000,4285.08,4285.08,4285.08,4285.08,0
1503014419000,4285.08,4285.08,4285.08,4285.08,0
1503014420000,4285.08,4285.08,4285.08,4285.08,0
1503014421000,4285.08,4285.08,4285.08,4285.08,0
1503014422000,4285.08,4285.08,4285.08,4285.08,0
1503014423000,4285.08,4285.08,4285.08,4285.08,0
1503014424000,4285.08,4285.08,4285.08,4285.08,0
1503014425000,4285.08,4285.08,4285.08,4285.08,0
1503014426000,4285.08,4285.08,4285.08,4285.08,0
1503014427000,4285.08,4285.08,4285.08,4285.08,0
1503014428000,4285.08,4285.08,4285.08,4285.08,0
1503014429000,4285.08,4285.08,4285.08,4285.08,0
1503014430000,4285.08,4285.08,4285.08,4285.08,0
1503014431000,4285.08,4285.08,4285.08,4285.08,0
1503014432000,4285.08,4285.08,4285.08,4285.08,0
1503014433000,4285.08,4285.08,4285.08,4285.08,0
1503014434000,4285.08,4285.08,4285.08,4285.08,0
1503014435000,4285.08,4285.08,4285.08,4285.08,0
1503014436000,4285.08,4285.08,4285.08,4285.08,0
1503014437000,4285.08,4285.08,4285.08,4285.08,0
1503014438000,4285.08,4285.08,4285.08,4285.08,0
1503014439000,4285.08,4285.08,4285.08,4285.08,0
1503014440000,4285.08,4285.08,4285.08,4285.08,0
1503014441000,4285.08,4285.08,4285.08,4285.08,0
1503014442000,4285.08,4285.08,4285.08,4285.08,0
1503014443000,4285.08,4285.08,4285.08,4285.08,0
1503014444000,4285.08,4285.08,4285.08,4285.08,0
1503014445000,4285.08,4285.08,4285.08,4285.08,0
1503014446000,4285.08,4285.08,4285.08,4285.08,0
1503014447000,4285.08,4285.08,4285.08,4285.08,0
1503014448000,4285.08,4285.08,4285.08,4285.08,95.11163568
1503014449000,4285.08,4285.08,4285.08,4285.08,0
1503014450000,4285.08,4285.08,4285.08,4285.08,0
1503014451000,4285.08,4285.08,4285.08,4285.08,0
1503014452000,4285.08,4285.08,4285.08,4285.08,0
1503014453000,4285.08,4285.08,4285.08,4285.08,0
1503014454000,4285.08,4285.08,4285.08,4285.08,0
1503014455000,4285.08,4285.08,4285.08,4285.08,0
1503014456000,4285.08,4285.08,4285.08,4285.08,0
1503014457000,4285.08,4285.08,4285.08,4285.08,0
1503014458000,4285.08,4285.08,4285.08,4285.08,0
1503014459000,4285.08,4285.08,4285.08,4285.08,0
1503014460000,4285.08,4285.08,4285.08,4285.08,0
1503014461000,4285.08,4285.08,4285.08,4285.08,0
1503014462000,4285.08,4285.08,4285.08,4285.08,0
1503014463000,4285.08,4285.08,4285.08,4285.08,0
1503014464000,4285.08,4285.08,4285.08,4285.08,0
1503014465000,4285.08,4285.08,4285.08,4285.08,0
1503014466000,4285.08,4285.08,4285.08,4285.08,0
1503014467000,4285.08,4285.08,4285.08,4285.08,0
1503014468000,4285.08,4285.08,4285.08,4285.08,0
1503014469000,4285.08,4285.08,4285.08,4285.08,0
1503014470000,4285.08,4285.08,4285.08,4285.08,0
1503014471000,4285.08,4285.08,4285.08,4285.08,0
1503014472000,4285.08,4285.08,4285.08,4285.08,1985.7917736
1503014473000,4285.08,4285.08,4285.08,4285.08,0
1503014474000,4285.08,4285.08,4285.08,4285.08,0
1503014475000,4285.08,4285.08,4285.08,4285.08,0
1503014476000,4285.08,4285.08,4285.08,4285.08,0
1503014477000,4285.08,4285.08,4285.08,4285.08,0
1503014478000,4285.08,4285.08,4285.08,4285.08,0
1503014479000,4285.08,4285.08,4285.08,4285.08,0
1503014480000,4285.08,4285.08,4285.08,4285.08,0
